category_name,label,description
all_energy,All Energy,Includes all energy-related domains collectively
advanced_nuclear,Advanced Nuclear,"Advanced Nuclear Reactors (Gen IV, molten salt, high-temperature gas, fast reactors)"
battery_chemistry,Battery Chemistry,"Battery Chemistry & Materials (lithium-ion, solid-state, sodium-ion, lithium-sulfur, cathode/anode materials)"
battery_manufacturing,Battery Manufacturing,"Battery Manufacturing & Scale-Up (gigafactories, cell production, formation, quality control)"
battery_recycling,Battery Recycling,"Battery Recycling & Second Life (materials recovery, direct recycling, repurposing, circular economy)"
bioenergy,Bioenergy,"Bioenergy & Biofuels (biomass conversion, sustainable aviation fuel, renewable diesel, biogas)"
building_efficiency,Building Efficiency,"Building Energy Efficiency (HVAC optimization, building envelope, smart buildings, electrification)"
carbon_capture,Carbon Capture,"Carbon Capture & Storage (point-source capture, industrial CCS, transportation, geological storage)"
carbon_removal,Carbon Removal,"Carbon Dioxide Removal (direct air capture, enhanced weathering, biochar, ocean-based CDR)"
carbon_utilization,Carbon Utilization,"Carbon Utilization & CCU (CO2-to-fuels, CO2-to-chemicals, mineralization, building materials)"
concentrated_solar,Concentrated Solar,"Concentrated Solar Power (CSP towers, parabolic trough, thermal storage, hybridization)"
demand_response,Demand Response,"Demand Response & Load Flexibility (industrial DR, residential DR, grid services, VPPs)"
distributed_energy,Distributed Energy,"Distributed Energy Resources (microgrids, community solar, behind-the-meter storage, DER aggregation)"
electric_vehicles,Electric Vehicles,"Electric Vehicles & Mobility (passenger EVs, commercial EVs, electric aviation, marine electrification)"
electrochemical,Electrochemical,"Electrochemical Systems (electrolyzers, fuel cells, electrochemical reactors, membrane technology)"
energy_storage_systems,Energy Storage Systems,"Grid-Scale Energy Storage (utility storage, long-duration storage, storage integration, ancillary services)"
ev_charging,EV Charging,"EV Charging Infrastructure (fast charging, charging networks, V2G, depot charging, charging software)"
flow_batteries,Flow Batteries,"Flow Batteries & Long-Duration Storage (vanadium, zinc-bromine, iron-air, organic flow)"
fuel_cells,Fuel Cells,"Fuel Cell Systems (PEM, SOFC, alkaline, fuel cell vehicles, stationary power)"
geothermal,Geothermal,"Geothermal Energy (enhanced geothermal, direct use, heat pumps, geothermal power)"
grid_modernization,Grid Modernization,"Grid Modernization & Smart Grid (ADMS, grid sensors, automation, real-time monitoring)"
grid_software,Grid Software,"Energy Software & Analytics (DERMS, energy management, forecasting, optimization platforms)"
heat_pumps,Heat Pumps,"Heat Pumps & Electrification (residential, commercial, industrial heat pumps, district heating)"
heavy_industry,Heavy Industry,"Heavy Industry Decarbonization (steel, cement, chemicals, aluminum, process heat)"
hydrogen_production,Hydrogen Production,"Hydrogen Production (green hydrogen, blue hydrogen, electrolysis, steam methane reforming with CCS)"
hydrogen_storage,Hydrogen Storage,"Hydrogen Storage & Transport (compressed, liquid, ammonia, pipelines, salt caverns)"
hydropower,Hydropower,"Hydropower & Pumped Storage (conventional hydro, run-of-river, pumped hydro storage, marine energy)"
industrial_efficiency,Industrial Efficiency,"Industrial Energy Efficiency (motors, process optimization, waste heat recovery, combined heat and power)"
inverters_power_electronics,Inverters Power Electronics,"Inverters & Power Electronics (solar inverters, battery inverters, grid-forming, power conversion)"
maritime_shipping,Maritime Shipping,"Maritime Decarbonization (shipping fuels, ammonia, methanol, wind-assisted propulsion)"
mining_critical_minerals,Mining Critical Minerals,"Critical Minerals & Mining (lithium, cobalt, rare earths, nickel, supply chain security)"
nuclear_fusion,Nuclear Fusion,"Nuclear Fusion (tokamaks, stellarators, inertial confinement, compact fusion, fusion materials)"
nuclear_fuel,Nuclear Fuel,"Nuclear Fuel Cycle (enrichment, fuel fabrication, HALEU, spent fuel management)"
offshore_wind,Offshore Wind,"Offshore Wind (fixed-bottom, floating, offshore substations, installation vessels)"
onshore_wind,Onshore Wind,"Onshore Wind (turbine technology, wind farm development, repowering, community wind)"
perovskites,Perovskites,"Perovskite Solar Cells (tandem cells, stability, manufacturing scale-up, commercialization)"
power_markets,Power Markets,"Power Markets & Trading (wholesale markets, PPAs, merchant risk, hedging, market design)"
small_modular_reactors,Small Modular Reactors,"Small Modular Reactors (SMRs, factory-built reactors, microreactors, deployment models)"
solar_manufacturing,Solar Manufacturing,"Solar Manufacturing & Supply Chain (polysilicon, wafers, cells, modules, domestic production)"
solar_pv,Solar PV,"Solar Photovoltaics (utility-scale, rooftop, bifacial, tracking systems, project development)"
superconductors,Superconductors,"Superconductors & Advanced Materials (HTS cables, superconducting magnets, grid applications)"
thermal_storage,Thermal Storage,"Thermal Energy Storage (molten salt, ice storage, hot water, phase change materials)"
transmission,Transmission,"Transmission Infrastructure (HVDC, transmission planning, interconnections, grid expansion)"
wind_turbine_tech,Wind Turbine Tech,"Wind Turbine Technology (blade design, drivetrain, towers, offshore foundations, next-gen turbines)"
energy_general,Energy General,Broad or cross-cutting energy-related topics that do not fit neatly into a specific technology or market category
energy_industrial_base,Energy Industrial Base,"Energy Supply Chain & Industrial Base (manufacturing capacity, domestic sourcing, workforce)"
energy_policy,Energy Policy,"Energy Policy & Regulation (IRA implementation, permitting, interconnection, state policy, federal programs)"
energy_cybersecurity,Energy Cybersecurity,"Energy Cybersecurity (OT security, grid security, NERC CIP, threat detection)"
energy_finance,Energy Finance,"Energy Project Finance & Investment (tax equity, project finance, green bonds, carbon markets, infrastructure funds)"
