category_name,label,description
all_space,All Space,Includes all space-related domains collectively
counterspace_capabilities,Counterspace Capabilities,"Counterspace Operations & Hardening (ASAT defense, redundancy, signal resiliency)"
earth_data_analytics,Earth Data Analytics,"Space-Derived Data & Geoinformation Services (downstream analytics, logistics, mapping, infrastructure monitoring)"
earth_observation,Earth Observation,"Earth Observation, Remote Sensing & Climate Modeling (environmental monitoring, agriculture, climate science, seasonal prediction)"
ground_operations,Ground Operations,"Ground Stations & Mission Control Systems (uplink/downlink, command centers, antenna arrays)"
human_systems,Human Systems,"Human-System Collaboration & Robotics (HCI, remote operation, human-robot teaming in space)"
infrared_astronomy,Infrared Astronomy,"Exoplanet Observation & Infrared Astronomy (mid-IR observations, L/M/N band imaging, planet detection beyond solar system)"
inspace_manufacturing,Inspace Manufacturing,"In-Space Manufacturing & Assembly (3D printing, structural fabrication, additive manufacturing in orbit)"
interplanetary_transport,Interplanetary Transport,"Interplanetary Transport & Mars Missions (crew/cargo transfer, long-duration propulsion, mission infrastructure)"
launch_support,Launch Support,"Launch Infrastructure & Ground Logistics (integration facilities, launch pads, transportation networks)"
launch_vehicles,Launch Vehicles,Launch Systems & Vehicles (LEO/MEO/GEO; expendable and reusable systems)
lunar_exploration,Lunar Exploration,"Robotic and Human Lunar Exploration (surface missions, lunar bases, resource mapping, regolith studies)"
mars_exploration,Mars Exploration,"Mars Exploration & Colonization (rovers, human missions, habitat development, atmospheric studies)"
microgravity_manufacturing,Microgravity Manufacturing,"Microgravity Manufacturing & Biotech (protein crystals, stem cells, fiber optics, tissue engineering)"
military_isr_satellites,Military Isr Satellites,"Tactical ISR from Space (GEOINT, SIGINT, MASINT, targeting support, reconnaissance)"
military_missile_tracking,Military Missile Tracking,"Missile Warning & Tracking Systems (infrared detection, early warning satellites, hypersonic tracking)"
military_satcom,Military Satcom,"Military & Tactical Communications Satellites (protected SATCOM, anti-jam, command and control)"
planetary_science,Planetary Science,"Planetary Protection & Astrobiology (biocontainment, contamination prevention, life detection protocols)"
positioning_navigation_timing,Positioning Navigation Timing,"Positioning, Navigation & Timing (PNT; includes military and civil GNSS systems)"
product_assurance,Product Assurance,"Product Assurance, Reliability & EMC Engineering (QA/QC, risk analysis, component reliability, electromagnetic compatibility, standards)"
satellite_communications,Satellite Communications,"Satellite Communications (Commsat, MSS/FSS/LEO; includes broadband, mobile SATCOM, tactical links)"
satellite_constellations,Satellite Constellations,"Small Satellite Systems & Constellations (Earth observation, IoT, communications, rapid manufacturing)"
satellite_servicing,Satellite Servicing,"Satellite Servicing & Life Extension (refueling, repairs, relocation, on-orbit maintenance)"
small_launch_vehicles,Small Launch Vehicles,"Responsive & Small Launch Vehicles (mobile, quick-turnaround launch systems for small payloads)"
small_satellite_engineering,Small Satellite Engineering,"Small Satellite Engineering & Integration (COTS systems, rapid prototyping, miniaturization)"
space_ai,Space AI,"AI-Driven Decision Support for Space Missions (mission planning, anomaly detection, autonomous ops)"
space_autonomy,Space Autonomy,"Autonomous Navigation, Guidance & Dynamics (GN&C autonomy, precision landing, orbital mechanics, formation flying)"
space_based_energy,Space Based Energy,"Space-Based Energy Generation (space solar power, beamed energy, orbital power stations)"
space_cybersecurity,Space Cybersecurity,"Cybersecurity for Space Systems (network hardening, intrusion detection, encryption)"
space_electronic_warfare,Space Electronic Warfare,"Electronic Warfare in Space (jamming, spoofing, spectrum denial, EM shielding)"
space_environment,Space Environment,"Space Radiation Protection & Shielding (solar storms, cosmic rays, radiation hardening of electronics)"
